ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
002104.SZ,20260112,20.29,11.9831,12.5321,0.91,151.2566,351.2724,6.7103,15.9197,17.2192,0.3967,0.3967,70833.9154,59969.9004,57342.8186,1437220.1435,1216789.2791,0
002104.SZ,20260109,19.87,11.2428,11.7579,0.79,148.1256,344.0011,6.5714,15.5902,16.8628,0.405,0.405,70833.9154,59969.9004,57342.8186,1407469.899,1191601.9209,0
002104.SZ,20260108,19.39,8.0391,8.4074,,144.5473,335.6911,6.4127,15.2135,16.4554,0.4151,0.4151,70833.9154,59969.9004,57342.8186,1373469.6196,1162816.3688,0
002104.SZ,20260107,19.48,17.2611,18.0519,0.82,145.2183,337.2492,6.4424,15.2842,16.5318,0.4132,0.4132,70833.9154,59969.9004,57342.8186,1379844.672,1168213.6598,0
002104.SZ,20260106,20.74,13.8631,14.4982,0.65,154.6104,359.061,6.8591,16.2727,17.601,0.3881,0.3881,70833.5154,59969.5004,57342.4186,1469087.1094,1243767.4383,0
002104.SZ,20260105,20.42,15.3564,16.06,0.69,152.2249,353.521,6.7533,16.0216,17.3294,0.3941,0.3941,70833.5154,59969.5004,57342.4186,1446420.3845,1224577.1982,0
