,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,52766072,0.20746887966804536,14.49,603038.SH,14.7,14.42,14.55,2025-08-01,1.3518650896887359,3632152
1,59271908,1.5873015873015903,14.72,603038.SH,14.73,14.35,14.45,2025-08-04,1.5090232511288104,4054400
2,44702845,0.5434782608695656,14.8,603038.SH,14.85,14.65,14.75,2025-08-05,1.1280172118572693,3030724
3,56802827,0.47297297297296287,14.87,603038.SH,14.89,14.73,14.8,2025-08-06,1.4260984335598732,3831600
4,60676667,0.201748486886356,14.9,603038.SH,14.95,14.74,14.92,2025-08-07,1.5210711700906887,4086770
5,53010253,-1.2080536912751658,14.72,603038.SH,14.91,14.61,14.89,2025-08-08,1.3411265491299433,3603300
6,60775314,0.6793478260869541,14.82,603038.SH,14.94,14.71,14.75,2025-08-11,1.5239333417563312,4094460
7,57977701,-0.6072874493927116,14.73,603038.SH,14.95,14.63,14.95,2025-08-12,1.4663512119264825,3939750
8,69288785,-0.7467752885268242,14.62,603038.SH,14.75,14.52,14.7,2025-08-13,1.7653532415225583,4743100
9,64948686,-1.7099863201094392,14.37,603038.SH,14.7,14.36,14.68,2025-08-14,1.6654228812483933,4474610
10,64923224,0.13917884481559742,14.39,603038.SH,14.51,14.37,14.37,2025-08-15,1.6754311772287735,4501500
11,89998020,0.41695621959693346,14.45,603038.SH,14.6,14.37,14.4,2025-08-18,2.311298529469794,6209930
12,519852255,10.034602076124575,15.9,603038.SH,15.9,14.4,14.47,2025-08-19,12.482426396240847,33537422
13,440577606,9.999999999999988,17.49,603038.SH,17.49,16.4,16.69,2025-08-20,9.544745133587973,25644545
14,1166479946,-4.859919954259565,16.64,603038.SH,19.24,16.57,18.5,2025-08-21,24.11222190252414,64784020
15,685243994,4.3269230769230695,17.36,603038.SH,18,15.67,16.18,2025-08-22,15.0099,40328299
16,733703231,3.92,18.04,603038.SH,18.29,16.99,17.4,2025-08-25,15.42,41430295
17,449521029,-3.88,17.34,603038.SH,17.75,17.1,17.61,2025-08-26,9.64,25901379
18,383873820,-4.67,16.53,603038.SH,17.34,16.5,17.34,2025-08-27,8.45,22707709
19,349155472,-0.42,16.46,603038.SH,16.64,15.62,16.53,2025-08-28,8.02,21552583
20,185294990,-3.341433778857841,15.91,603038.SH,16.45,15.9,16.45,2025-08-29,4.3,11553030
