ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
601788.SH,20260115,17.38,1.2745,2.7798,,26.2012,21.3919,1.3514,8.3489,7.041,1.2549,1.2549,461078.7639,390669.8839,179122.5656,8013548.9166,6789842.5822,0
601788.SH,20260114,17.72,1.9154,4.1776,1.84,26.7138,21.8104,1.3778,8.5122,7.1788,1.2308,1.2308,461078.7639,390669.8839,179122.5656,8170315.6963,6922670.3427,0
601788.SH,20260113,17.94,1.1074,2.4153,,27.0454,22.0812,1.3949,8.6179,7.2679,1.2157,1.2157,461078.7639,390669.8839,179122.5656,8271753.0244,7008617.7172,0
601788.SH,20260112,18.07,1.3226,2.8847,1.21,27.2414,22.2412,1.405,8.6804,7.3205,1.207,1.207,461078.7639,390669.8839,179122.5656,8331693.2637,7059404.8021,0
601788.SH,20260109,17.8,0.7982,1.7409,0.76,26.8344,21.9089,1.384,8.5507,7.2112,1.2253,1.2253,461078.7639,390669.8839,179122.5656,8207201.9974,6953923.9334,0
601788.SH,20260108,17.75,0.9167,1.9993,,26.759,21.8473,1.3801,8.5266,7.1909,1.2287,1.2287,461078.7639,390669.8839,179122.5656,8184148.0592,6934390.4392,0
601788.SH,20260107,18.02,1.0716,2.3372,1.16,27.166,22.1796,1.4011,8.6563,7.3003,1.2103,1.2103,461078.7639,390669.8839,179122.5656,8308639.3255,7039871.3079,0
601788.SH,20260106,18.22,1.7982,3.9219,2.07,27.4676,22.4258,1.4167,8.7524,7.3813,1.197,1.197,461078.7639,390669.8839,179122.5656,8400855.0783,7118005.2847,0
601788.SH,20260105,17.79,0.8914,1.9442,1.1,26.8193,21.8965,1.3833,8.5458,7.2071,1.226,1.226,461078.7639,390669.8839,179122.5656,8202591.2098,6950017.2346,0
