ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
601015.SH,20260114,3.93,2.848,7.6477,0.57,,,1.4236,0.5505,0.7289,0.0,,204249.7639,204249.7639,76062.3145,802701.5721,802701.5721,0
601015.SH,20260113,3.96,2.8035,7.5283,,,,1.4345,0.5547,0.7345,0.0,,204249.7639,204249.7639,76062.3145,808829.065,808829.065,0
601015.SH,20260112,4.06,3.445,9.2508,0.8,,,1.4707,0.5687,0.753,0.0,,204249.7639,204249.7639,76062.3145,829254.0414,829254.0414,0
601015.SH,20260109,4.05,4.2652,11.4532,1.17,,,1.4671,0.5673,0.7512,0.0,,204249.7639,204249.7639,76062.3145,827211.5438,827211.5438,0
601015.SH,20260108,4.1,7.9272,21.2868,,,,1.4852,0.5743,0.7604,0.0,,204249.7639,204249.7639,76062.3145,837424.032,837424.032,0
601015.SH,20260107,4.07,6.6918,17.9695,5.99,,,1.4743,0.5701,0.7549,0.0,,204249.7639,204249.7639,76062.3145,831296.5391,831296.5391,1
601015.SH,20260106,3.7,1.6835,4.5207,1.61,,,1.3403,0.5183,0.6862,0.0,,204249.7639,204249.7639,76062.3145,755724.1264,755724.1264,0
601015.SH,20260105,3.62,1.0881,2.922,1.06,,,1.3113,0.5071,0.6714,0.0,,204249.7639,204249.7639,76062.3145,739384.1453,739384.1453,0
