ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
300832.SZ,20260109,62.82,0.5263,1.0852,1.21,26.9948,29.9205,5.6443,10.883,10.8511,2.0694,2.0694,78571.8785,68199.7363,33075.0775,4935885.4074,4284307.4344,0
300832.SZ,20260108,61.11,0.5668,1.1688,,26.26,29.106,5.4907,10.5868,10.5557,2.1273,2.1273,78571.8785,68199.7363,33075.0775,4801527.4951,4167685.8853,0
300832.SZ,20260107,59.6,0.2921,0.6024,0.74,25.6111,28.3868,5.355,10.3252,10.2949,2.1812,2.1812,78571.8785,68199.7363,33075.0775,4682883.9586,4064704.2835,0
300832.SZ,20260106,59.5,0.4041,0.8331,1.11,25.5682,28.3392,5.346,10.3078,10.2776,2.1849,2.1849,78571.8785,68199.7363,33075.0775,4675026.7708,4057884.3099,0
300832.SZ,20260105,58.9,0.5956,1.2281,2.0,25.3103,28.0534,5.2921,10.2039,10.174,2.2071,2.2071,78571.8785,68199.7363,33075.0775,4627883.6437,4016964.4681,0
