ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600326.SH,20260114,11.16,11.32,10.96,11.08,11.16,-0.08,-0.7168,566661.64,631779.361
600326.SH,20260113,11.45,11.56,11.15,11.16,11.44,-0.28,-2.4476,642649.44,727052.366
600326.SH,20260112,11.29,11.5,11.25,11.44,11.29,0.15,1.3286,515907.66,587515.011
600326.SH,20260109,11.28,11.34,11.19,11.29,11.28,0.01,0.0887,321655.34,362477.236
600326.SH,20260108,11.12,11.31,11.09,11.28,11.15,0.13,1.1659,362542.35,407593.054
600326.SH,20260107,11.2,11.26,11.12,11.15,11.24,-0.09,-0.8007,264417.38,295504.453
600326.SH,20260106,11.07,11.24,11.03,11.24,11.08,0.16,1.444,374317.22,418968.335
600326.SH,20260105,11.01,11.08,10.96,11.08,11.03,0.05,0.4533,261659.54,288880.52
