,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
0,001360.SZ,20251223,21.91,15.3497,15.8549,0.8,75.5874,87.2168,3.1528,5.7503,5.6495,1.0154,0.677,20400.0,8178.1146,7917.5624,446964.0,179182.4909,0
1,002049.SZ,20251223,76.51,1.7307,2.3389,0.94,55.1206,45.3891,4.9531,11.7953,10.5655,0.8821,0.2724,84962.4032,84947.2307,62857.0981,6500473.4688,6499312.6209,0
2,301300.SZ,20251223,43.41,4.7847,6.4844,0.94,58.4124,35.1827,3.5149,5.9761,5.7932,2.2175,2.454,6488.8,3092.5542,2281.9325,281678.808,134247.7778,0
3,000565.SZ,20251223,7.46,1.608,2.7046,0.58,740.7127,555.3821,2.5944,9.23,8.7563,0.2011,0.2011,43359.222,43359.222,25778.3238,323459.7961,323459.7961,0
4,605138.SH,20251223,7.03,0.4638,1.9283,0.89,83.7235,85.3951,1.6206,1.0653,1.123,1.2802,0.7653,55557.0168,55557.0168,13362.8089,390565.8281,390565.8281,0
5,605365.SH,20251223,27.12,3.501,20.8744,0.96,32.5802,51.1253,3.6518,2.0002,1.9983,1.1827,1.5476,50201.2876,50201.2876,8419.6126,1361458.9197,1361458.9197,0
6,002434.SZ,20251223,9.21,1.4372,2.9877,1.07,50.3738,37.3465,2.032,2.0105,2.0418,3.2573,1.0858,131260.0,131134.105,63080.465,1208904.6,1207745.1071,0
7,000523.SZ,20251223,3.89,15.2828,23.6437,2.83,13.9171,13.8175,3.7751,3.4776,3.3793,0.0,,183546.8461,132516.0154,85655.6391,713997.2313,515487.2999,0
8,002530.SZ,20251223,9.8,1.8586,2.3919,0.61,,169.0838,5.7645,6.033,6.8881,0.0,,77919.8175,69512.3334,54012.389,763614.2115,681220.8673,0
9,688219.SH,20251223,11.9,0.9281,1.7426,0.95,33.7031,31.4861,2.2014,1.0743,1.0034,,,54960.0,54960.0,29271.0148,654024.0,654024.0,0
10,688575.SH,20251223,14.26,0.5361,0.9576,0.86,27.0219,56.8529,3.0054,4.0505,4.2783,,,57138.83,57138.83,31988.82,814799.7158,814799.7158,0
11,301638.SZ,20251223,19.25,11.6275,11.6275,0.91,107.3249,79.3062,5.7395,10.0511,9.0524,,,317965.023,23498.0159,23498.0159,6120826.6928,452336.8061,0
12,688186.SH,20251223,22.84,2.1214,2.6721,0.8,55.8828,22.5504,1.3389,1.6003,1.3295,,,28048.9356,28048.9356,22268.3347,640637.6891,640637.6891,0
13,603226.SH,20251223,31.95,1.431,5.0705,1.06,,,12.5094,33.7823,34.4524,0.0,,35549.177,35549.177,10032.6507,1135796.2052,1135796.2052,0
14,300986.SZ,20251223,10.14,1.0234,1.7847,0.85,56.6851,31.5933,1.9614,1.6535,1.522,0.5898,0.6156,41197.3975,41165.3836,23606.4396,417741.6107,417416.9897,0
15,603312.SH,20251223,47.55,2.8954,2.8954,0.91,33.3955,26.1633,4.7849,3.5148,2.6758,1.3807,2.4121,15999.95,5091.95,5091.95,760797.6225,242122.2225,0
16,000430.SZ,20251223,7.92,2.0615,2.611,1.34,,,11.9739,7.4284,7.0004,0.0,,40481.7686,33173.88,26192.4635,320615.6073,262737.1296,0
17,601238.SH,20251223,8.18,0.5474,2.2699,0.96,101.2795,,0.7553,0.781,0.8423,1.5896,0.244,1019706.59,738369.7595,178073.4968,8341199.9062,6039864.6327,0
