,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,29972582,-0.06249999999999867,15.99,603277.SH,16.15,15.84,16.02,2025-07-01,0.30758084892804344,1875462
1,21115768,-0.6879299562226356,15.88,603277.SH,16,15.79,16,2025-07-02,0.21841880806029035,1331800
2,51501449,2.392947103274564,16.26,603277.SH,16.47,15.84,15.9,2025-07-03,0.5215933962013118,3180395
3,35490400,-1.7835178351783574,15.97,603277.SH,16.24,15.88,16.24,2025-07-04,0.36349117651074475,2216373
4,43549735,-0.5009392611145903,15.89,603277.SH,16.03,15.66,15.88,2025-07-07,0.4508229471442639,2748875
5,32835684,0.7551919446192636,16.01,603277.SH,16.12,15.75,15.88,2025-07-08,0.3362518025435262,2050282
6,24617241,-0.4372267332917055,15.94,603277.SH,16.16,15.9,16.16,2025-07-09,0.2521043085110723,1537196
7,22689803,-0.06273525721455324,15.93,603277.SH,16,15.85,15.94,2025-07-10,0.23377848178674066,1425455
8,27584591,1.0043942247332087,16.09,603277.SH,16.16,15.83,15.85,2025-07-11,0.2825865080465264,1723060
9,26369407,0.8701056556867655,16.23,603277.SH,16.43,16.01,16.43,2025-07-14,0.26666102497347155,1625955
10,38699536,0.06161429451631553,16.24,603277.SH,16.5,16.13,16.23,2025-07-15,0.389880360433674,2377280
11,18636122,0,16.24,603277.SH,16.35,16.13,16.31,2025-07-16,0.18858589525040365,1149895
12,32052007,0.6157635467980384,16.34,603277.SH,16.45,16.11,16.3,2025-07-17,0.32344860304747375,1972215
13,52575471,0.795593635250912,16.47,603277.SH,16.59,16.1,16.3,2025-07-18,0.5270350060912656,3213575
14,28743251,-0.18214936247721666,16.44,603277.SH,16.45,16.27,16.41,2025-07-21,0.2880149977197473,1756160
15,59677563,1.88564476885644,16.75,603277.SH,16.95,16.45,16.45,2025-07-22,0.5837569830816036,3559435
16,42675379,-1.1940298507462643,16.55,603277.SH,16.81,16.48,16.7,2025-07-23,0.421860068706475,2572275
17,45657989,1.8731117824773336,16.86,603277.SH,16.86,16.49,16.5,2025-07-24,0.4477459283149898,2730113
18,76265371,2.787663107947799,17.33,603277.SH,17.69,16.74,16.81,2025-07-25,0.7257042799089998,4424953
19,69876703,-3.0582804385458604,16.8,603277.SH,17.31,16.69,17.29,2025-07-28,0.6775234000090448,4131172
20,41989099,-0.47619047619048716,16.72,603277.SH,16.99,16.61,16.85,2025-07-29,0.4104627004333484,2502780
21,80321938,-0.5382775119617217,16.63,603277.SH,16.77,16.3,16.7,2025-07-30,0.7990449794240151,4872145
22,34532669,-1.0222489476848957,16.46,603277.SH,16.64,16.38,16.6,2025-07-31,0.3430515188680402,2091743
