ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market
300420.SZ,五洋自控,20251201,4.09,4.19,4.05,4.19,4.11,0.08,328226.52,135579.583,2.9403,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251128,4.06,4.15,4.05,4.11,4.08,0.03,266217.04,108954.514,2.3848,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251127,3.98,4.19,3.97,4.08,3.96,0.12,481235.36,197007.077,4.311,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251126,3.96,4.02,3.95,3.96,3.98,-0.02,176515.9,70329.483,1.5813,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251125,3.95,4.0,3.91,3.98,3.91,0.07,202135.34,80335.625,1.8108,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251124,3.92,3.94,3.84,3.91,3.89,0.02,250888.63,97409.141,2.2475,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251121,4.02,4.05,3.89,3.89,4.05,-0.16,284292.42,112093.344,2.5467,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251120,4.1,4.1,4.02,4.05,4.06,-0.01,172032.36,69620.029,1.5411,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251119,4.13,4.14,4.03,4.06,4.13,-0.07,222583.0,90505.054,1.9939,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251118,4.23,4.23,4.11,4.13,4.24,-0.11,322904.51,134024.512,2.8926,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251117,4.17,4.25,4.14,4.24,4.18,0.06,317987.8,133897.528,2.8486,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251114,4.16,4.23,4.14,4.18,4.18,0.0,269236.52,113019.497,2.4119,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251113,4.15,4.19,4.13,4.18,4.15,0.03,177783.09,74083.567,1.5926,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251112,4.17,4.18,4.11,4.15,4.18,-0.03,224076.02,92821.636,2.0073,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251111,4.21,4.21,4.16,4.18,4.21,-0.03,255508.74,106809.747,2.2889,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251110,4.17,4.23,4.13,4.21,4.16,0.05,338807.6,141531.514,3.0351,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251107,4.17,4.2,4.14,4.16,4.19,-0.03,264820.73,110229.47,2.3723,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251106,4.25,4.25,4.14,4.19,4.25,-0.06,442738.84,184941.05,3.9661,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251105,4.0,4.29,3.99,4.25,4.05,0.2,773883.3,322756.419,6.9326,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251104,4.06,4.07,4.01,4.05,4.07,-0.02,232358.17,93797.73,2.0815,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251103,3.99,4.07,3.95,4.07,4.0,0.07,282565.42,113864.404,2.5313,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251031,3.93,4.01,3.93,4.0,3.95,0.05,202601.5,80748.466,1.8149,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251030,4.03,4.04,3.94,3.95,4.03,-0.08,282447.36,112307.574,2.5302,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251029,4.06,4.07,4.01,4.03,4.06,-0.03,241788.88,97324.144,2.166,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251028,4.1,4.1,4.02,4.06,4.09,-0.03,308468.62,125131.617,2.7633,111629.6861,江苏,机械基件,创业板
300420.SZ,五洋自控,20251027,4.08,4.12,4.02,4.09,4.03,0.06,348482.22,142095.317,3.1218,111629.6861,江苏,机械基件,创业板
