ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market
603179.SH,新泉股份,20251201,66.52,71.2,66.0,69.61,66.17,3.44,206362.18,1425074.374,4.0452,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251128,65.32,66.77,63.11,66.17,65.0,1.17,116499.08,759934.923,2.2837,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251127,66.0,67.4,64.93,65.0,65.88,-0.88,126140.89,832546.691,2.4727,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251126,64.1,68.68,63.88,65.88,64.85,1.03,160469.3,1068415.066,3.1456,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251125,64.2,66.98,64.0,64.85,63.31,1.54,177604.52,1168198.952,3.4815,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251124,61.8,64.2,60.07,63.31,61.77,1.54,145398.91,910280.403,2.8502,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251121,60.0,63.18,58.51,61.77,60.62,1.15,200116.12,1224298.513,3.9228,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251120,61.35,62.55,60.04,60.62,60.9,-0.28,79482.16,483646.175,1.558,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251119,61.48,62.74,60.71,60.9,61.59,-0.69,120995.56,744470.494,2.3718,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251118,63.45,64.88,60.99,61.59,63.86,-2.27,139254.86,866262.383,2.7297,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251117,65.19,66.96,62.8,63.86,65.18,-1.32,127514.3,818743.936,2.4996,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251114,63.98,66.86,62.1,65.18,63.98,1.2,175109.4,1133159.823,3.4326,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251113,63.73,65.14,63.0,63.98,63.87,0.11,123749.67,791359.745,2.4258,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251112,66.99,67.13,63.6,63.87,67.5,-3.63,189345.53,1231906.439,3.7116,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251111,69.0,69.3,64.86,67.5,69.3,-1.8,304861.14,2030224.442,5.976,51014.1893,江苏,汽车配件,主板
603179.SH,新泉股份,20251110,75.08,75.59,69.3,69.3,77.0,-7.7,242420.81,1716929.525,4.752,51014.1893,江苏,汽车配件,主板
