ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
920130.BJ,20260119,26.61,3.2411,6.1014,0.23,,,4.8039,8.7854,7.1458,,,9224.3236,5595.5756,2972.3552,245459.251,148898.2667,0
920130.BJ,20260116,26.63,7.2901,13.7239,0.46,,,4.8075,8.792,7.1511,,,9224.3236,5595.5756,2972.3552,245643.7375,149010.1782,0
920130.BJ,20260115,27.74,11.3717,21.4077,,,,5.0079,9.1585,7.4492,,,9224.3236,5595.5756,2972.3552,255882.7367,155221.2671,0
920130.BJ,20260114,30.88,17.5018,32.9478,1.2,,,5.5748,10.1951,8.2924,,,9224.3236,5595.5756,2972.3552,284847.1128,172791.3745,0
920130.BJ,20260113,28.08,14.7463,27.7605,,,,5.0693,9.2707,7.5405,,,9224.3236,5595.5756,2972.3552,259019.0067,157123.7628,0
920130.BJ,20260112,30.83,18.6213,35.0553,1.25,,,5.5658,10.1786,8.279,,,9224.3236,5595.5756,2972.3552,284385.8966,172511.5957,0
920130.BJ,20260109,27.65,16.3643,30.8065,0.96,,,4.9917,9.1287,7.4251,,,9224.3236,5595.5756,2972.3552,255052.5475,154717.6653,0
920130.BJ,20260108,25.93,12.0655,22.7138,,,,4.6812,8.5609,6.9632,,,9224.3236,5595.5756,2972.3552,239186.7109,145093.2753,0
920130.BJ,20260107,25.17,10.9402,20.5953,0.76,,,4.544,8.31,6.7591,,,9224.3236,5595.5756,2972.3552,232176.225,140840.6379,0
920130.BJ,20260106,26.71,14.5391,27.3704,1.24,,,4.822,8.8184,7.1726,,,9224.3236,5595.5756,2972.3552,246381.6834,149457.8243,0
920130.BJ,20260105,26.51,20.5406,38.6685,2.6,,,4.7859,8.7524,7.1189,,,9224.3236,5595.5756,2972.3552,244536.8186,148338.7092,0
