,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,60907205,1.2009237875288756,21.91,688218.SH,22.08,21.57,21.64,2025-08-01,0,2784533
1,110843325,3.3318119580100434,22.64,688218.SH,22.68,21.82,21.91,2025-08-04,0,4949408
2,213547277,3.710247349823321,23.48,688218.SH,24,22.74,22.77,2025-08-05,0,9098933
3,203423075,3.279386712095399,24.25,688218.SH,24.52,23.23,23.44,2025-08-06,0,8484675
4,134907754,-1.8969072164948488,23.79,688218.SH,24.3,23.67,24.3,2025-08-07,0,5653133
5,81773785,-2.1017234131988234,23.29,688218.SH,23.89,23.27,23.87,2025-08-08,0,3484907
6,110466190,3.048518677544014,24,688218.SH,24.24,23.3,23.39,2025-08-11,0,4617621
7,79761997,-1.541666666666671,23.63,688218.SH,24.18,23.41,23.91,2025-08-12,0,3367496
8,88681667,0.12695725772323802,23.66,688218.SH,23.82,23.43,23.63,2025-08-13,0,3756488
9,118017836,-1.5215553677092115,23.3,688218.SH,23.92,23.02,23.92,2025-08-14,0,5037640
10,80761795,0.8154506437768142,23.49,688218.SH,23.85,23.19,23.19,2025-08-15,0,3429275
11,122357474,1.0217113665389612,23.73,688218.SH,24.07,23.39,23.49,2025-08-18,0,5155518
12,182529674,2.9919932574799866,24.44,688218.SH,24.69,23.4,23.79,2025-08-19,0,7578369
13,125416743,-0.6955810147299578,24.27,688218.SH,24.67,24.01,24.31,2025-08-20,0,5160124
14,94445729,-1.6481252575195657,23.87,688218.SH,24.37,23.63,24.3,2025-08-21,0,3950263
15,117295879,1.5919564306661038,24.25,688218.SH,24.63,23.74,23.87,2025-08-22,0,4847600
16,345068417,7.34,26.03,688218.SH,26.77,24.46,24.46,2025-08-25,11.32,13421172
17,176695653,-0.2305032654629361,25.97,688218.SH,26.44,25.74,26.01,2025-08-26,0,6785920
18,332563046,2.5413939160569896,26.63,688218.SH,28.56,25.97,25.97,2025-08-27,0,12175166
19,235857144,1.5,27.03,688218.SH,28.13,25.9,27.0,2025-08-28,7.39,8759284
20,364359290,5.14,28.42,688218.SH,28.88,25.62,26.87,2025-08-29,11.205,13288906
