ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301079.SZ,20260112,57.5,70.14,57.39,70.14,58.45,11.69,20.0,317089.67,2061406.215
301079.SZ,20260109,57.0,59.52,54.97,58.45,49.6,8.85,17.8427,407885.44,2381642.804
301079.SZ,20260108,47.54,49.6,47.1,49.6,41.33,8.27,20.0097,137310.12,668324.432
301079.SZ,20260107,33.5,41.33,33.0,41.33,34.44,6.89,20.0058,340580.67,1284390.125
301079.SZ,20260106,32.17,35.0,31.51,34.44,32.86,1.58,4.8083,240708.41,795111.785
301079.SZ,20260105,31.61,33.54,30.46,32.86,31.61,1.25,3.9544,208766.06,670028.137
