ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
920970.BJ,20260107,7.85,2.0571,2.6502,0.8,,,3.1394,7.0996,6.9184,,,11080.08,7007.13,5438.98,86978.628,55005.9705,0
920970.BJ,20260106,7.95,2.6268,3.3842,1.02,,,3.1794,7.19,7.0066,,,11080.08,7007.13,5438.98,88086.636,55706.6835,0
920970.BJ,20260105,7.74,1.9437,2.5041,0.7,,,3.0954,7.0001,6.8215,,,11080.08,7007.13,5438.98,85759.8192,54235.1862,0
