,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,531798933,6.124314442413156,34.83,688382.SH,35.29,32.44,32.44,2025-07-01,0,15484243
1,417245345,-7.263853000287113,32.3,688382.SH,35.99,32,35.48,2025-07-02,0,12394539
2,478738047,2.136222910216733,32.99,688382.SH,33.53,31.03,31.89,2025-07-03,0,14676194
3,432096015,-1.636859654440737,32.45,688382.SH,33.55,31.33,32.8,2025-07-04,0,13462769
4,294843098,-0.12326656394454931,32.41,688382.SH,33.55,31.97,32.11,2025-07-07,0,9027908
5,502076946,-3.6408515890157243,31.23,688382.SH,34.58,31.05,32.83,2025-07-08,0,15324193
6,355286803,1.6650656420108858,31.75,688382.SH,32.58,30.6,31,2025-07-09,0,11140941
7,296949741,-2.2047244094488168,31.05,688382.SH,32.8,30.95,32,2025-07-10,0,9374176
8,1076141681,18.0354267310789,36.65,688382.SH,36.78,31.3,31.3,2025-07-11,0,31419486
9,626811394,-1.5006821282401015,36.1,688382.SH,37,34.57,36.25,2025-07-14,0,17688916
10,795552870,7.894736842105267,38.95,688382.SH,39.7,35.8,36.05,2025-07-15,0,20978561
11,918364595,2.6957637997432533,40,688382.SH,41.5,38.18,38.57,2025-07-16,0,22799065
12,735111474,6.925000000000008,42.77,688382.SH,42.85,39.1,40.35,2025-07-17,0,17788505
13,576244935,6.382978723404248,45.5,688382.SH,45.88,41.05,41.17,2025-07-18,0,13410906
14,641610720,-1.1208791208791167,44.99,688382.SH,48.58,42.9,45.05,2025-07-21,0,14226882
15,477039580,-0.8446321404756669,44.61,688382.SH,46.83,43.5,45,2025-07-22,0,10593146
16,470313174,-0.022416498542923137,44.6,688382.SH,45.72,43.6,44.61,2025-07-23,0,10558097
17,430373897,-2.242152466367713,43.6,688382.SH,45.38,43,45.14,2025-07-24,0,9836238
18,330863616,1.238532110091741,44.14,688382.SH,45.02,42.7,43.36,2025-07-25,0,7585330
19,327538890,1.3140009062075175,44.72,688382.SH,45.7,43,43,2025-07-28,0,7335226
20,547433142,5.098389982110915,47,688382.SH,48.99,44.06,45,2025-07-29,0,11645647
21,521963906,-2.2340425531914834,45.95,688382.SH,48.78,45.48,46.99,2025-07-30,0,11080590
22,557976103,4.2437431991294785,47.9,688382.SH,49.68,45.52,45.77,2025-07-31,0,11614272
