,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,148971592,5.306122448979587,5.16,300300.SZ,5.2,4.88,4.89,2025-07-01,4.375631999907043,29176625
1,132158748,0.3875968992247979,5.18,300300.SZ,5.27,5.1,5.2,2025-07-02,3.826184609724407,25512921
2,137428317,-2.8957528957528855,5.03,300300.SZ,5.22,4.95,5.18,2025-07-03,4.059647080924941,27069644
3,83854763,0,5.03,300300.SZ,5.15,5,5,2025-07-04,2.472161425112454,16484322
4,92889602,1.9880715705765335,5.13,300300.SZ,5.16,4.87,4.99,2025-07-07,2.7732743730251532,18492137
5,183180741,0.5847953216374318,5.16,300300.SZ,5.46,5.07,5.12,2025-07-08,5.191159537467213,34614546
6,167632653,-3.294573643410851,4.99,300300.SZ,5.23,4.95,5.17,2025-07-09,4.936345171372914,32915449
7,93282196,0.6012024048096064,5.02,300300.SZ,5.04,4.92,5.04,2025-07-10,2.8083862079950386,18726262
8,84770915,-1.9920318725099533,4.92,300300.SZ,5.04,4.89,5.01,2025-07-11,2.57439299132111,17166000
9,75665504,0.40650406504065983,4.94,300300.SZ,5.04,4.83,4.97,2025-07-14,2.3071627204523457,15384114
10,103082432,0.20242914979756652,4.95,300300.SZ,4.97,4.74,4.92,2025-07-15,3.183167047532158,21225293
11,53765932,-0.6060606060606111,4.92,300300.SZ,5.02,4.87,4.93,2025-07-16,1.6317632356530807,10880564
12,46848665,-0.6097560975609807,4.89,300300.SZ,4.96,4.86,4.94,2025-07-17,1.4372659405338735,9583660
13,92256965,-3.0674846625766765,4.74,300300.SZ,4.89,4.72,4.87,2025-07-18,2.894023092410112,19297287
14,49848853,1.0548523206751017,4.79,300300.SZ,4.83,4.71,4.75,2025-07-21,1.5592876092203773,10397298
15,79441465,1.2526096033402843,4.85,300300.SZ,4.95,4.77,4.79,2025-07-22,2.4458567556329753,16308923
16,62916616,-2.0618556701030855,4.75,300300.SZ,4.86,4.74,4.86,2025-07-23,1.974892358774186,13168542
17,57332447,1.0526315789473648,4.8,300300.SZ,4.84,4.72,4.74,2025-07-24,1.7989707053123836,11995500
18,144184491,6.041666666666668,5.09,300300.SZ,5.09,4.83,4.83,2025-07-25,4.338081645186552,28926240
19,91078547,-0.5893909626719106,5.06,300300.SZ,5.15,5.02,5.11,2025-07-28,2.6914144947551595,17946297
20,47047429,0,5.06,300300.SZ,5.08,4.99,5.03,2025-07-29,1.4013609117779517,9344246
21,83135440,0.3952569169960566,5.08,300300.SZ,5.14,5.04,5.11,2025-07-30,2.4535742357292927,16360383
22,111749265,0,5.08,300300.SZ,5.17,4.97,5.03,2025-07-31,3.306565745022478,22048113
