ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688338.SH,20260115,27.8,27.95,27.52,27.67,27.9,-0.23,-0.8244,10275.52,28475.212
688338.SH,20260114,27.74,28.59,27.5,27.9,27.74,0.16,0.5768,28621.79,80356.888
688338.SH,20260113,27.46,27.97,27.23,27.74,27.46,0.28,1.0197,20205.13,56072.171
688338.SH,20260112,27.1,27.76,27.03,27.46,27.13,0.33,1.2164,18179.81,49910.189
688338.SH,20260109,27.0,27.14,26.8,27.13,26.99,0.14,0.5187,7262.07,19599.975
688338.SH,20260108,26.42,27.05,26.42,26.99,26.55,0.44,1.6573,7841.45,21057.059
688338.SH,20260107,26.59,26.7,26.41,26.55,26.52,0.03,0.1131,5559.15,14773.18
688338.SH,20260106,26.68,26.91,26.48,26.52,26.61,-0.09,-0.3382,7446.54,19841.17
688338.SH,20260105,25.9,26.64,25.89,26.61,25.88,0.73,2.8207,10564.62,27870.989
