,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,3199966970,3.5932362611554747,44.11,002463.SZ,44.69,41.98,42,2025-07-01,3.801968532381533,73079223
1,2418045491,-3.6272953978689673,42.51,002463.SZ,43.4,42.06,43.39,2025-07-02,2.9495086483766544,56693736
2,3399303322,4.469536579628319,44.41,002463.SZ,44.68,42.9,42.91,2025-07-03,4.023354186500976,77334569
3,4813192873,6.5075433460932235,47.3,002463.SZ,48.51,46.59,46.7,2025-07-04,5.262194427245328,101146834
4,2957038758,-3.1712473572938693,45.8,002463.SZ,48.11,45.23,47.2,2025-07-07,3.328428733109158,63977117
5,4297087671,7.139737991266383,49.07,002463.SZ,49.37,45.37,45.45,2025-07-08,4.630206789160094,88999136
6,3237064497,-2.5677603423680417,47.81,002463.SZ,49.29,47.48,48.87,2025-07-09,3.4851069833529045,66988695
7,3200827140,-1.1713030746705757,47.25,002463.SZ,48.55,45.92,48.4,2025-07-10,3.5404643482085074,68052742
8,3152862293,0.021164021164016954,47.26,002463.SZ,49.2,46.78,47.1,2025-07-11,3.4379548407812472,66082364
9,2099968876,1.5869657215404147,48.01,002463.SZ,48.55,47.21,47.3,2025-07-14,2.274831702041973,43725489
10,4950662835,7.1443449281399705,51.44,002463.SZ,51.55,48.25,48.99,2025-07-15,5.102370103033469,98074784
11,3545380963,-4.918351477449458,48.91,002463.SZ,51.95,48.86,51.9,2025-07-16,3.6555298913462724,70276394
12,4559942499,8.587200981394403,53.11,002463.SZ,53.66,48.65,48.8,2025-07-17,4.601645799840406,88465170
13,3531573266,-1.901713424967046,52.1,002463.SZ,55.09,51.97,53.51,2025-07-18,3.4581661946210223,66482140
14,3183366487,-1.1708253358925134,51.49,002463.SZ,52.44,50.4,51.89,2025-07-21,3.233505919331682,62163118
15,3306595513,-0.0776849873761879,51.45,002463.SZ,53.46,50.59,51.26,2025-07-22,3.3127304871861893,63686185
16,3434878503,-3.4791059280855317,49.66,002463.SZ,50.72,49.3,50.5,2025-07-23,3.5873128406601484,68964943
17,2857119235,0.06041079339508888,49.69,002463.SZ,51.16,48.9,50.66,2025-07-24,2.9724477958604756,57144359
18,1549562415,-0.3018716039444528,49.54,002463.SZ,50.36,49.12,49.39,2025-07-25,1.6226932404604382,31195759
19,4318109007,6.459426725878084,52.74,002463.SZ,53.32,49.13,49.91,2025-07-28,4.375958615414052,84126406
20,4296031911,4.626469472885851,55.18,002463.SZ,55.54,52.56,53.1,2025-07-29,4.1395457910664755,79581445
21,2759168985,-1.268575570859012,54.48,002463.SZ,54.78,53.22,54.68,2025-07-30,2.658635609549825,51111420
22,4745906773,3.2856093979442114,56.27,002463.SZ,58.59,55.67,56.2,2025-07-31,4.348903289234595,83606276
