,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,278830512,-2.4083769633507774,55.92,301128.SZ,58.48,55.67,58,2025-08-01,5.55360953536745,4900025
1,329691916,5.2932761087267535,58.88,301128.SZ,58.88,54.8,55,2025-08-04,6.527433399074134,5759243
2,261381918,-1.0529891304347903,58.26,301128.SZ,59.3,57.5,58.87,2025-08-05,5.090480531660423,4491400
3,637464865,6.985925163062136,62.33,301128.SZ,66.49,57.8,58.2,2025-08-06,11.592437727013966,10228165
4,788414923,1.2674474570832652,63.12,301128.SZ,69.36,62.86,65.14,2025-08-07,13.680603526029907,12070582
5,1084058169,8.602661596958175,68.55,301128.SZ,71.88,62.98,62.98,2025-08-08,17.881223541435766,15776846
6,861350444,-2.407002188183795,66.9,301128.SZ,70.3,65.5,68,2025-08-11,14.603987271826583,12885296
7,663975160,-0.4633781763826641,66.59,301128.SZ,67.18,62.54,66.06,2025-08-12,11.596385303202187,10231648
8,710644414,3.619162036341788,69,301128.SZ,69.85,64.33,65.93,2025-08-13,11.903947163636474,10503014
9,477437982,-4.3478260869565215,66,301128.SZ,69.66,65.33,69.4,2025-08-14,8.05945677634151,7110968
10,917744612,12.742424242424239,74.41,301128.SZ,77.66,66.02,66.02,2025-08-15,14.675338323033365,12948250
11,1041200470,19.99731218922189,89.29,301128.SZ,89.29,80.25,84.67,2025-08-18,13.879227924367388,12245831
12,1710002082,9.73233284802329,97.98,301128.SZ,105,87.05,90.68,2025-08-19,20.556787090521425,18137532
13,1099622773,-1.2655644008981517,96.74,301128.SZ,101.66,94.02,94.02,2025-08-20,12.851545656852423,11339093
14,1318507875,-3.8143477362001215,93.05,301128.SZ,105.55,92,97.01,2025-08-21,15.227560369807758,13435483
15,1347186611,5.663621708758728,98.32,301128.SZ,102.49,93.08,93.08,2025-08-22,15.7106,13861672
16,1618833600,20.00,117.98,301128.SZ,117.98,99.00,102.00,2025-08-25,14.434,14930275
17,1806020400,-11.93,103.90,301128.SZ,113.99,103.40,109.72,2025-08-26,18.793,16580836
18,1373290954,-2.01,101.81,301128.SZ,108.43,101.68,104.5,2025-08-27,14.84,13092963
19,1155522382,2.3867989392004643,104.24,301128.SZ,105.5,98.55,99.1,2025-08-28,12.8386,11327628
20,1128800400,-8.0,95.9,301128.SZ,104.49,95.31,104.24,2025-08-29,13.14,11589376
