,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,129039411,9.94318181818182,3.87,601003.SH,3.87,3.52,3.52,2025-07-01,1.3302333173039478,34091129
1,409830812,10.077519379844952,4.26,601003.SH,4.26,3.81,3.9,2025-07-02,4.0003360395992935,102520340
2,973983840,10.093896713615038,4.69,601003.SH,4.69,4.27,4.67,2025-07-03,8.345357635567318,213874258
3,581099611,10.021321961620464,5.16,601003.SH,5.16,4.8,4.8,2025-07-04,4.456588732949658,114213153
4,1158891798,-7.945736434108531,4.75,601003.SH,5.49,4.64,5.32,2025-07-07,9.203090596619345,235856180
5,1196833501,10.105263157894747,5.23,601003.SH,5.23,4.38,4.56,2025-07-08,9.829783222462117,251917016
6,1357761603,2.294455066921591,5.35,601003.SH,5.72,5,5.17,2025-07-09,10.073874201008493,258172563
7,1240318143,5.233644859813089,5.63,601003.SH,5.81,5.09,5.2,2025-07-10,8.843269562288523,226634711
8,1076764776,-5.328596802841915,5.33,601003.SH,5.81,5.2,5.54,2025-07-11,7.592638805191148,194583631
9,710476676,-5.065666041275806,5.06,601003.SH,5.37,5.02,5.12,2025-07-14,5.390502909091533,138147442
10,992408824,10.079051383399223,5.57,601003.SH,5.57,5,5.06,2025-07-15,7.034817050396419,180287813
11,1060470442,-9.156193895870748,5.06,601003.SH,5.57,5.01,5.52,2025-07-16,8.041932216770359,206098092
12,833927714,10.079051383399223,5.57,601003.SH,5.57,4.85,5.05,2025-07-17,6.063284700458859,155389448
13,1400706636,10.05385996409335,6.13,601003.SH,6.13,5.58,5.69,2025-07-18,9.392849645457153,240719312
14,767932759,9.951060358890707,6.74,601003.SH,6.74,6.31,6.31,2025-07-21,4.551445859931266,116644145
15,1246124638,9.940652818991097,7.41,601003.SH,7.41,6.86,7,2025-07-22,6.80680723672905,174444393
16,2009510416,5.128205128205127,7.79,601003.SH,8.15,7.6,7.9,2025-07-23,9.875571505340346,253090475
17,1755124934,4.621309370988451,8.15,601003.SH,8.3,7.12,7.41,2025-07-24,8.61817356156556,220865966
18,1486474182,-9.938650306748471,7.34,601003.SH,8.19,7.34,8.15,2025-07-25,7.642358150474256,195857835
19,1165624175,-8.583106267029972,6.71,601003.SH,7.12,6.65,7.06,2025-07-28,6.67321339076442,171020659
20,1220086167,1.639344262295087,6.82,601003.SH,7.03,6.48,6.73,2025-07-29,7.0800880461209275,181448015
21,976153261,-5.425219941348975,6.45,601003.SH,6.95,6.3,6.71,2025-07-30,5.693238533643682,145905930
22,699208361,-1.705426356589152,6.34,601003.SH,6.48,6.2,6.33,2025-07-31,4.316205732089503,110615427
