,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,68949075,1.2032085561497308,7.57,603687.SH,7.68,7.51,7.52,2025-08-01,1.6577948654989196,9118400
1,63770960,0.9247027741083143,7.64,603687.SH,7.67,7.47,7.54,2025-08-04,1.5279660234375076,8404300
2,117280971,1.963350785340319,7.79,603687.SH,7.83,7.69,7.7,2025-08-05,2.7490043740447736,15120400
3,76957951,0.12836970474967632,7.8,603687.SH,7.87,7.74,7.75,2025-08-06,1.794334227880296,9869410
4,66413316,0.2564102564102623,7.82,603687.SH,7.84,7.77,7.81,2025-08-07,1.5461649690898633,8504400
5,96662145,0.895140664961629,7.89,603687.SH,7.91,7.78,7.8,2025-08-08,2.2410681647345436,12326589
6,82091307,-0.6337135614702133,7.84,603687.SH,7.9,7.78,7.87,2025-08-11,1.9013989342261086,10458300
7,83110359,-0.8928571428571465,7.77,603687.SH,7.9,7.75,7.84,2025-08-12,1.935524229919887,10646000
8,52716701,0,7.77,603687.SH,7.81,7.73,7.81,2025-08-13,1.2342921282102304,6789000
9,69604407,-1.8018018018017976,7.63,603687.SH,7.82,7.63,7.76,2025-08-14,1.6412720045615392,9027519
10,75489710,0.1310615989515044,7.64,603687.SH,7.68,7.54,7.54,2025-08-15,1.7990775894394364,9895500
11,102258411,-0.26178010471203633,7.62,603687.SH,7.72,7.6,7.66,2025-08-18,2.4282411391351686,13356100
12,110389277,1.0498687664042003,7.7,603687.SH,7.73,7.57,7.63,2025-08-19,2.6233571079074793,14429300
13,113844914,1.9480519480519412,7.85,603687.SH,7.85,7.65,7.68,2025-08-20,2.666785864609473,14668172
14,64105975,-0.2547770700636888,7.83,603687.SH,7.89,7.79,7.85,2025-08-21,1.4888046558699006,8188900
15,70032442,-0.38314176245211046,7.8,603687.SH,7.84,7.7,7.84,2025-08-22,1.6398,9019200
16,79871182,-0.3846153846153878,7.77,603687.SH,7.85,7.73,7.84,2025-08-25,1.866,10263400
17,286214886,5.1480051480051525,8.17,603687.SH,8.5,7.72,7.77,2025-08-26,6.3967,35184100
18,225550000,-4.16,7.83,603687.SH,8.21,7.800,8.1,2025-08-27,5.14,28248300
19,218337148,0.0,7.83,603687.SH,8.01,7.52,7.84,2025-08-28,5.11,28092374
20,113400000,-0.64,7.78,603687.SH,7.83,7.690,7.79,2025-08-29,2.66,14611400
