,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,103803616,-0.9700176366842983,11.23,688352.SH,11.43,11.18,11.32,2025-08-01,0,9204802
1,93461027,1.4247551202137145,11.39,688352.SH,11.4,11.14,11.18,2025-08-04,0,8269357
2,69363371,0.6145741878841113,11.46,688352.SH,11.51,11.38,11.4,2025-08-05,0,6064025
3,99635854,1.1343804537521727,11.59,688352.SH,11.63,11.38,11.44,2025-08-06,0,8637208
4,145041912,0.5176876617773986,11.65,688352.SH,11.83,11.52,11.55,2025-08-07,0,12440198
5,90880795,-1.0300429184549442,11.53,688352.SH,11.64,11.44,11.6,2025-08-08,0,7875450
6,116435420,2.168256721595837,11.78,688352.SH,11.85,11.5,11.51,2025-08-11,0,9927616
7,142366665,1.1884550084889693,11.92,688352.SH,12.01,11.7,11.75,2025-08-12,0,12015624
8,220143717,1.76174496644296,12.13,688352.SH,12.4,11.87,11.9,2025-08-13,0,18100435
9,175862559,-1.648804616652935,11.93,688352.SH,12.23,11.85,12.14,2025-08-14,0,14575985
10,163982442,1.6764459346186176,12.13,688352.SH,12.19,11.9,11.9,2025-08-15,0,13538021
11,244523950,-0.08244023083265921,12.12,688352.SH,12.3,12.08,12.17,2025-08-18,0,20050385
12,158535231,0.24752475247525693,12.15,688352.SH,12.27,12.04,12.13,2025-08-19,0,13018741
13,201681940,1.8106995884773567,12.37,688352.SH,12.37,12,12.11,2025-08-20,0,16550717
14,186805457,-0.5658852061438845,12.3,688352.SH,12.5,12.15,12.4,2025-08-21,0,15205007
15,302427954,2.0325203252032518,12.55,688352.SH,12.6,12.26,12.28,2025-08-22,0,24214313
16,311877268,0.2390438247011901,12.58,688352.SH,12.95,12.42,12.6,2025-08-25,0,24588213
17,180146640,-0.87,12.47,688352.SH,12.64,12.45,12.58,2025-08-26,3.931,14383511
18,263951200,-1.84,12.24,688352.SH,12.78,12.22,12.48,2025-08-27,5.760,21072789
19,281700000,3.10,12.62,688352.SH,12.62,12.170,12.17,2025-08-28,6.2,22674395
20,214410013,-1.7432646592709895,12.4,688352.SH,12.72,12.31,12.71,2025-08-29,0,17270527
