ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002651.SZ,20260115,11.91,12.15,11.67,11.83,12.01,-0.18,-1.4988,206706.03,244865.938
002651.SZ,20260114,12.0,12.3,11.87,12.01,12.04,-0.03,-0.2492,307785.66,372306.111
002651.SZ,20260113,12.6,12.67,12.01,12.04,12.84,-0.8,-6.2305,449703.96,549066.443
002651.SZ,20260112,12.69,12.88,12.5,12.84,12.49,0.35,2.8022,552372.3,703731.345
002651.SZ,20260109,12.43,12.69,12.18,12.49,12.24,0.25,2.0425,587571.75,730651.119
002651.SZ,20260108,11.75,12.3,11.73,12.24,11.82,0.42,3.5533,411296.04,498470.172
002651.SZ,20260107,11.9,11.95,11.72,11.82,11.96,-0.14,-1.1706,201166.25,237927.95
002651.SZ,20260106,11.73,12.02,11.7,11.96,11.81,0.15,1.2701,293602.0,349337.844
002651.SZ,20260105,11.83,11.88,11.54,11.81,11.69,0.12,1.0265,249209.75,292965.221
