,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,202256138,-0.07886435331230116,12.67,300061.SZ,12.8,12.5,12.52,2025-08-01,2.578378316775511,15999862
1,162853992,0.473559589581693,12.73,300061.SZ,12.73,12.44,12.6,2025-08-04,2.08608236491724,12944970
2,186316586,-0.39277297721917287,12.68,300061.SZ,12.82,12.6,12.71,2025-08-05,2.3657730759726885,14680562
3,160974495,0.4731861198738209,12.74,300061.SZ,12.74,12.57,12.65,2025-08-06,2.0461298871600384,12697049
4,216107398,-0.47095761381476053,12.68,300061.SZ,12.85,12.64,12.75,2025-08-07,2.7329273237709306,16958900
5,239854941,-2.050473186119872,12.42,300061.SZ,12.68,12.4,12.67,2025-08-08,3.0934876344486018,19196320
6,290642183,3.059581320450892,12.8,300061.SZ,12.85,12.37,12.49,2025-08-11,3.6794314167819864,22832334
7,257460492,0.6250000000000006,12.88,300061.SZ,12.96,12.7,12.77,2025-08-12,3.2355131887960193,20077645
8,276523573,0.15527950310558675,12.9,300061.SZ,12.97,12.71,12.88,2025-08-13,3.470350688388471,21534905
9,399529503,-1.5503875968992331,12.7,300061.SZ,13.18,12.7,12.9,2025-08-14,4.980130555249406,30903689
10,605347234,3.5433070866141816,13.15,300061.SZ,13.29,12.5,12.58,2025-08-15,7.483467908008393,46437892
11,581644333,1.9011406844106464,13.4,300061.SZ,13.48,12.96,13.04,2025-08-18,7.073796479650419,43895718
12,367506593,-1.7164179104477644,13.17,300061.SZ,13.41,13.13,13.31,2025-08-19,4.473030233151741,27756930
13,556542905,1.7463933181473077,13.4,300061.SZ,13.95,13.13,13.28,2025-08-20,6.6696049582230135,41387549
14,454000024,-1.1194029850746294,13.25,300061.SZ,13.71,13.2,13.31,2025-08-21,5.459042352124248,33875527
15,901804782,3.849056603773583,13.76,300061.SZ,13.95,13.25,13.25,2025-08-22,10.5937,65738289
16,874122611,0.6540697674418594,13.85,300061.SZ,14.2,13.6,13.86,2025-08-25,10.1579,63033914
17,542125615,-1.37,13.66,300061.SZ,13.97,13.61,13.82,2025-08-26,6.32,39339874
18,542280000,-4.10,13.1,300061.SZ,13.75,13.060,13.6,2025-08-27,6.49,40350100
19,430588235,0.38,13.15,300061.SZ,13.15,12.57,13.04,2025-08-28,5.36,333318
20,291037960,-2.13,12.87,300061.SZ,13.15,12.80,13.14,2025-08-29,3.611,22468035
