ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
603029.SH,20260108,18.42,1.6247,3.9049,,32.2418,27.5258,2.4047,2.897,2.3551,0.9338,0.9338,12134.2,12134.2,5048.5248,223511.964,223511.964,0
603029.SH,20260107,18.21,1.6151,3.8819,0.85,31.8742,27.212,2.3773,2.8639,2.3283,0.9445,0.9445,12134.2,12134.2,5048.5248,220963.782,220963.782,0
603029.SH,20260106,18.34,2.2499,5.4078,1.27,32.1018,27.4063,2.3942,2.8844,2.3449,0.9378,0.9378,12134.2,12134.2,5048.5248,222541.228,222541.228,0
603029.SH,20260105,18.29,2.4105,5.7936,1.56,32.0143,27.3316,2.3877,2.8765,2.3385,0.9404,0.9404,12134.2,12134.2,5048.5248,221934.518,221934.518,0
