,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,42979129,1.1181332036947031,20.8,300864.SZ,20.94,20.57,20.87,2025-08-01,1.316917073401653,2060826
1,27127827,1.3942307692307652,21.09,300864.SZ,21.12,20.53,20.75,2025-08-04,0.8279334269243481,1295622
2,24205806,0.33191085822664906,21.16,300864.SZ,21.26,21.02,21.13,2025-08-05,0.7258822957958534,1145158
3,25946542,-0.28355387523628883,21.1,300864.SZ,21.26,21.01,21.26,2025-08-06,0.7794988970615198,1229744
4,23277390,0.47393364928908943,21.2,300864.SZ,21.26,21.05,21.17,2025-08-07,0.696967008396805,1099541
5,28497021,0.5188679245282992,21.31,300864.SZ,21.48,21.06,21.19,2025-08-08,0.8502420553176697,1341349
6,28306199,0.750821210699203,21.47,300864.SZ,21.56,21.22,21.32,2025-08-11,0.8368413912910289,1320208
7,24685221,0.13972985561248782,21.5,300864.SZ,21.59,21.42,21.58,2025-08-12,0.7277744003377162,1148143
8,32901676,-0.883720930232564,21.31,300864.SZ,21.57,21.28,21.49,2025-08-13,0.9762530484513967,1540145
9,41559174,-2.909432191459397,20.69,300864.SZ,21.43,20.64,21.31,2025-08-14,1.2573608333814705,1983623
10,22921002,1.111648139197682,20.92,300864.SZ,20.95,20.69,20.8,2025-08-15,0.6957100424649745,1097558
11,34694898,0.3824091778202595,21,300864.SZ,21.16,20.92,20.93,2025-08-18,1.0453620876090803,1649172
12,28405683,1.428571428571432,21.3,300864.SZ,21.31,20.93,21.15,2025-08-19,0.8508645165103362,1342331
13,34572391,0.5633802816901454,21.42,300864.SZ,21.52,21.17,21.3,2025-08-20,1.027128158211684,1620406
14,52806070,0.8403361344537801,21.6,300864.SZ,21.99,21.45,21.52,2025-08-21,1.541373648500944,2431684
15,40631500,-0.925925925925939,21.4,300864.SZ,21.82,21.27,21.57,2025-08-22,1.2034,1898441
16,44532228,0.14018691588785578,21.43,300864.SZ,21.55,21.2,21.37,2025-08-25,1.3179,2079161
17,50126182,0.04666355576295644,21.44,300864.SZ,21.8,21.43,21.54,2025-08-26,1.4714,2321234
18,63980000,-2.24,20.96,300864.SZ,21.54,20.920,21.41,2025-08-27,1.91,3017800
19,52128995,-1.53,20.64,300864.SZ,21.06,20.10,20.96,2025-08-28,1.60,25287
20,29925991,-0.53,20.53,300864.SZ,20.77,20.51,20.7,2025-08-29,0.92,1451654
